id,name,streetAddress,city,state,zipCode,telephone,website,priceRange,category,ratingValue,neighborhood,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Good For,Parking,Attire,Ambience,Alcohol,Outdoor Seating,Wi-Fi,Waiter Service,Caters
57,tuk tuk,4906 Vernon Blvd,New York,NY,11101,(718) 472-5597,tuktukny.com,$$,Thai,4.0,Hunters Point; Long Island City,Yes,Yes,Yes,Yes,Lunch; Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
58,hanco’s,134 Smith St,New York,NY,11201,(718) 858-6818,hancosny.com,$,Vietnamese;Sandwiches;Bubble Tea,4.0,Boerum Hill; Cobble Hill,No,Yes,Yes,No,Lunch,Street,Casual,Casual,No,Yes,,No,No
59,manhattan proper,6 Murray Street (between Church and Broadway),New York,NY,10007,(646) 559-4445,manhattanproper.com,$$,Sports Bars;American (New);Lounges,4.0,Civic Center,Yes,Yes,Yes,Yes,Dinner; Late Night,Street,Casual,Trendy,Full Bar,No,Free,Yes,Yes
60,awol eatery,336 Graham Ave,New York,NY,11211,(347) 457-6752,awoleatery.com,$$,American (New);Gluten-Free;Vegetarian,4.5,East Williamsburg,No,Yes,Yes,Yes,Dinner,Street,Casual,Hipster,Beer & Wine Only,Yes,Free,Yes,Yes
61,animals food and drink,140 Ave C,New York,NY,10009,(212) 777-7437,animalsnyc.com,$$,Sandwiches;Bars,5.0,East Village; Alphabet City,No,,Yes,Yes,,,Casual,,,No,,,
62,alice’s arbor,549 Classon Ave,New York,NY,11238,(718) 399-3003,alicesarbor.com,$$,American (Traditional);Breakfast & Brunch,4.0,Bedford Stuyvesant; Clinton Hill,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
63,giuseppina’s,691 6th ave,New York,NY,11215,(646) 741-4606,,$$,Pizza;Caterers,4.5,South Slope,Yes,No,Yes,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
64,harry & ida’s meat and supply co,189 Ave A,New York,NY,10009,(646) 864-0967,meatandsupplyco.com,$$,Sandwiches;Meat Shops,5.0,East Village; Alphabet City,No,Yes,Yes,Yes,,,Casual,Hipster,No,No,,No,
65,the greek,458 Greenwich St,New York,NY,10013,(646) 476-3941,thegreektribeca.com,$$,Greek,4.5,TriBeCa,Yes,No,Yes,Yes,Dinner,Garage; Street,Casual,Intimate,Full Bar,No,No,Yes,Yes
66,sau voi,101 Lafayette St,New York,NY,10013,(212) 226-8184,,$,Delis;Vietnamese;Sandwiches,4.0,Chinatown,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,No,No
67,lulu & po,154 Carlton Ave,New York,NY,11205,(917) 435-3745,luluandpo.com,$$$,American (New),4.5,Fort Greene,No,No,No,Yes,Dinner,Street,Casual,Intimate,Full Bar,Yes,Free,Yes,No
68,westville,333 Hudson St,New York,NY,10013,(212) 776-1404,westvillenyc.com,$$,American (Traditional),4.0,South Village,Yes,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,Yes
69,american retro,714 11th Ave,New York,NY,10019,(212) 245-2203,americanretrony.com,$$,American (New),4.0,Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Lunch; Dinner; Late Night,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
70,piacere,351 Broome St,New York,NY,10013,(212) 219-4080,piacerenyc.com,$$,Pizza;Italian,4.5,Little Italy; Nolita,Yes,Yes,Yes,Yes,Late Night,Street,Casual,Casual,Beer & Wine Only,Yes,Free,Yes,No
71,urbanspace vanderbilt,230 Park Ave,New York,NY,10169,(646) 747-0822,urbanspacenyc.com/our-markets…,$$,Food Court,4.0,Midtown East,No,No,Yes,Yes,Lunch,Garage,Casual,Casual,Full Bar,No,Free,No,Yes
72,cafe mogador,101 St Marks Pl,New York,NY,10009,(212) 677-2226,cafemogador.com,$$,Moroccan,4.0,East Village; Alphabet City,Yes,No,Yes,Yes,Brunch; Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
73,kabob shack,182 Havemeyer St,New York,NY,11211,(718) 387-7111,kabob-shack.com,$,Afghan;Middle Eastern,4.5,Williamsburg - South Side,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
74,monsignor’s restaurant,679 5th Ave,New York,NY,11215,(718) 369-2575,mymonsignors.com,$$,Italian;Mexican,4.5,South Slope,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
75,le village,127 E 7th St,New York,NY,10009,(212) 539-0231,levillagenyc.com,$$,French;Gluten-Free;Vegetarian,4.5,East Village; Alphabet City,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,No,No,Free,Yes,No
76,boulton & watt,5 Ave A,New York,NY,10009,(646) 490-6004,boultonandwattnyc.com,$$,American (New);Gastropubs,4.0,Lower East Side; Alphabet City,Yes,Yes,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,No,Free,Yes,Yes
77,saraghina,435 Halsey St,New York,NY,11233,(718) 574-0010,saraghinabrooklyn.com,$$,Pizza;Breakfast & Brunch;Bakeries,4.0,Bedford Stuyvesant,No,No,Yes,No,Dinner,Street,Casual,Casual,Beer & Wine Only,Yes,Free,Yes,No
78,new york bakery,51 W 29th St,New York,NY,10001,(212) 213-2838,,$,Bakeries;Korean;Mexican,4.5,Flatiron; Midtown West,No,No,Yes,No,,Street,Casual,Divey,No,No,No,No,No
79,ducks eatery,351 E 12th St,New York,NY,10003,(212) 432-3825,duckseatery.com,$$,French;Cajun/Creole;American (Traditional),4.0,East Village,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
80,papa’s  kitchen,65-40 Woodside Ave,New York,NY,11377,(347) 724-9586,,$$,Filipino,4.5,Woodside,Yes,Yes,Yes,No,Dinner,Street,Casual,Casual,No,No,No,Yes,Yes
81,briciola,370 W 51 St,New York,NY,10019,(646) 678-5763,,$$,Italian;Wine Bars,4.0,Theater District; Hell's Kitchen; Midtown West,No,No,No,Yes,Dinner,Street,Casual,Intimate,Beer & Wine Only,No,No,Yes,No
82,rocket pig,463 W 24th St,New York,NY,10001,(212) 645-5660,rocketpignyc.com,$$,American (New),4.0,Chelsea,No,Yes,Yes,Yes,Lunch,,Casual,Casual,Beer & Wine Only,No,No,No,No
83,roosters caribbean tapas,651 5th Ave,New York,NY,11215,(718) 788-6088,,$$,Caribbean,4.5,South Slope,Yes,No,No,No,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
84,nowadays,56-06 Cooper Ave,New York,NY,11385,,nowadays.nyc,$$,Beer Gardens;Burgers;Bars,4.0,Bushwick; Glendale,No,No,No,Yes,,,Casual,Casual,Beer & Wine Only,Yes,No,No,No
85,mazzat,208 Columbia St,New York,NY,11231,(718) 852-1652,,$$,Tapas Bars;Mediterranean;Middle Eastern,4.5,Columbia Street Waterfront District,Yes,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,No,No,Yes,Yes
86,café gitane,242 Mott St,New York,NY,10012,(212) 334-9552,cafegitanenyc.com,$$,French;Moroccan,4.0,Nolita,No,No,Yes,No,Lunch,Street,Casual,Casual,Beer & Wine Only,Yes,No,Yes,Yes
87,le bon choix,652 10th Ave,New York,NY,10036,(212) 262-0100,lebonchoixcafe.com,$$,Chicken Shop;Cafes;Sandwiches,5.0,Hell's Kitchen; Midtown West,No,Yes,Yes,Yes,Lunch,,Casual,Hipster,No,No,Free,No,Yes
88,brickyard gastropub,785 9th Ave,New York,NY,10019,(212) 767-0077,brickyardnyc.com,$$,Gastropubs;American (Traditional);Sports Bars,4.0,Theater District; Hell's Kitchen; Midtown West,Yes,Yes,Yes,Yes,Dinner; Late Night,Street,Casual,Casual,Full Bar,No,No,Yes,No
89,luke’s lobster,26 S William St,New York,NY,10004,(212) 747-1700,lukeslobster.com,$$,Seafood,4.5,Financial District,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
90,pig and khao,68 Clinton St,New York,NY,10002,(347) 704-2398,pigandkhao.com,$$,Filipino;Asian Fusion,4.0,Lower East Side,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
91,post office,188 Havemeyer St,New York,NY,11211,(718) 963-2574,postofficebk.com,$$,Bars;American (Traditional),4.5,Williamsburg - South Side,No,No,No,Yes,Late Night,Street,Casual,Hipster,Full Bar,No,No,Yes,No
92,grimaldi’s,1 Front St,New York,NY,11201,(718) 858-4300,grimaldis.com,$$,Pizza,3.5,DUMBO,No,No,Yes,No,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
93,tia pol,205 10th Ave,New York,NY,10011,(212) 675-8805,tiapol.com,$$$,Tapas Bars;Spanish,4.0,Chelsea,Yes,No,No,Yes,Dinner,Garage; Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
94,bricolage,162 5th Ave,New York,NY,11217,(718) 230-1835,bricolage.nyc,$$$,Vietnamese;Gastropubs,4.5,Park Slope,Yes,No,Yes,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,Free,Yes,Yes
95,the meatball shop,170 Bedford Ave,New York,NY,11249,(718) 551-0520,themeatballshop.com,$$,American (Traditional);Italian,4.0,Williamsburg - North Side,No,No,Yes,Yes,Dinner; Late Night,Street,Casual,Hipster,Full Bar,No,No,Yes,Yes
96,lot 2,687 6th Ave,New York,NY,11215,(718) 499-5623,lot2restaurant.com,$$,American (New);Burgers,4.5,South Slope,No,No,No,Yes,Dinner,Street,Casual,Intimate,Full Bar,No,No,Yes,No
97,the grey dog,244 Mulberry St,New York,NY,10012,(212) 966-1060,thegreydog.com,$$,Coffee & Tea;Breakfast & Brunch,4.0,Nolita,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,Beer & Wine Only,No,No,No,Yes
98,taboonette,30 E 13th St,New York,NY,10003,(212) 510-7881,taboonette.com,$$,Middle Eastern,4.0,Union Square; Greenwich Village,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,Yes
99,risotteria,270 Bleecker St,New York,NY,10014,(212) 924-6664,risotteria.com,$$,Italian;Gluten-Free;Vegetarian,4.0,West Village,No,Yes,Yes,Yes,Dinner,Street,Casual,Casual,Beer & Wine Only,No,No,Yes,No
100,cc’s cafe,41 Monroe St,New York,NY,10002,(212) 571-1060,ccscafenyc.com,$$,Cafes;Breakfast & Brunch;American (New),4.0,Two Bridges,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Beer & Wine Only,No,Free,Yes,No
101,the farm on adderley,1108 Cortelyou Rd,New York,NY,11218,(718) 287-3101,thefarmonadderley.com,$$,American (New);Breakfast & Brunch,4.0,Flatbush,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
102,house of small wonder,77 N 6th St,New York,NY,11211,(718) 388-6160,houseofsmallwonder.com,$$,Breakfast & Brunch;American (New);Asian Fusion,4.5,Williamsburg - North Side,No,No,Yes,No,Brunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
103,brooklyn ice house,318 Van Brunt St,New York,NY,11231,(718) 222-1865,,$,Barbeque;Pubs,4.5,Red Hook,No,No,Yes,No,Lunch; Dinner; Late Night,Street,Casual,Divey,Full Bar,Yes,No,Yes,No
104,smithfield,138 W 25th St,New York,NY,10001,(212) 929-9677,smithfieldnyc.com,$$,Pubs;American (Traditional);Sports Bars,4.0,Chelsea,Yes,No,Yes,Yes,Brunch; Late Night,Garage; Street,Casual,Casual,Full Bar,No,Free,Yes,No
105,egg shop,151 Elizabeth St,New York,NY,10012,(646) 666-0810,eggshopnyc.com,$$,Breakfast & Brunch;Sandwiches,4.0,Little Italy; Nolita,No,No,Yes,Yes,Lunch,Street,Casual,Casual,Full Bar,No,No,Yes,No
106,homemade taqueria,71-03 Grand Ave,New York,NY,11378,(718) 779-0771,homemadetaqueria.com,$,Mexican,4.5,Maspeth,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,Yes,Yes
107,becco,355 W 46th St,New York,NY,10036,(212) 397-7597,becco-nyc.com,$$$,Italian,4.0,Theater District; Hell's Kitchen; Midtown West,Yes,No,No,Yes,Dinner,Street,Casual,Casual,Full Bar,Yes,No,Yes,No
108,black swan,1048 Bedford Ave,New York,NY,11205,(718) 783-4744,blackswannyc.com,$$,Pubs;Gastropubs,3.5,Bedford Stuyvesant,Yes,No,Yes,Yes,Brunch,Street,Casual,Casual,Full Bar,Yes,Free,Yes,No
109,bo ky restaurant,80 Bayard St,New York,NY,10013,(212) 406-2292,,$,Chinese;Vietnamese,3.5,Chinatown,No,No,Yes,No,Lunch,Street,Casual,Casual,No,No,No,Yes,No
110,parker & quinn,64 W 39th St,New York,NY,10018,(212) 729-0277,parkerandquinnnyc.com,$$,American (New);Bars;Venues & Event Spaces,4.0,Midtown West,Yes,No,No,Yes,Brunch,Street,Casual,Trendy,Full Bar,No,No,Yes,No
111,go! go! curry!,273 W 38th St,New York,NY,10018,(212) 730-5555,gogocurryusa-ny.com,$,Japanese,4.0,Midtown West,No,Yes,Yes,Yes,Lunch,Street,Casual,Casual,No,No,No,No,No
112,gramercy tavern,42 E 20th St,New York,NY,10003,(212) 477-0777,gramercytavern.com,$$$$,American (New),4.5,Flatiron,Yes,No,No,Yes,Dinner,Street,Dressy,Classy,Full Bar,No,No,Yes,No
113,little dokebi,85 Driggs Ave,New York,NY,11222,,,$$,Korean,4.0,Greenpoint,No,No,Yes,No,Dinner,Street,Casual,Trendy,Beer & Wine Only,No,No,Yes,No
114,goggan,364 W 46th St,New York,NY,10036,(212) 315-2969,gogganrestaurant.com,$$$,Korean,4.0,Theater District; Hell's Kitchen; Midtown West,Yes,No,No,Yes,Dinner,Garage; Street,Casual,Trendy,Full Bar,Yes,Free,Yes,No
115,the federal bar,367 Metropolitan Ave,New York,NY,11211,(718) 388-8641,bk.thefederalbar.com,$$,Bars;American (New),4.5,Williamsburg - North Side,No,No,No,Yes,,Street,Casual,Hipster,Full Bar,Yes,No,Yes,Yes
